username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
JasonWQ;2016-01-29 17:42;0;0;"61,000+ dislikes on #FineBros #ReactWorld video says it all. I'm probably going to get sued for this tweet.";;;#FineBros #ReactWorld;"693217645554827264";https://twitter.com/JasonWQ/status/693217645554827264
TeslaCrypt;2016-01-29 17:21;0;0;"Horse reacting to React World by the Fine Bros. via /r/videos http:// ift.tt/1Qy15Zn";;;;"693212307783041025";https://twitter.com/TeslaCrypt/status/693212307783041025
Abedsbrother;2016-01-29 17:08;0;0;"@boogie2988 I had a good reaction to this video...
Reacting to React World by the Fine Bros https:// youtu.be/YN-vhZoO7wM via @YouTube";;@boogie2988 @YouTube;;"693209032698499072";https://twitter.com/Abedsbrother/status/693209032698499072
instagamrr;2016-01-29 17:04;0;1;"I liked a @YouTube video from @akasan http:// youtu.be/DoBUTP8snbs?a REACTWORLD - REACTION!";;@YouTube @akasan;;"693208205896368128";https://twitter.com/instagamrr/status/693208205896368128
akasan;2016-01-29 17:01;0;2;"I liked a @YouTube video from @instagamrr http:// youtu.be/h3_fRUHOAfE?a Reacting to React World by The Fine Bros | REACT AROUND THE WORLD";;@YouTube @instagamrr;;"693207407317618690";https://twitter.com/akasan/status/693207407317618690
Doobybrain;2016-01-29 16:52;0;0;"Fine Bros. anger their fan base with stupid special announcement about React World http://www. doobybrain.com/blog/2016/1/29 /fine-bros-anger-their-fan-base-with-stupid-special-announcement-about-react-world ";Manhattan, NY;;;"693205203672285185";https://twitter.com/Doobybrain/status/693205203672285185
ratchet3yo;2016-01-29 16:51;0;0;"Here's another interesting thing about the FBE's react world initiative. Their Partnership program is really something to be skeptical on";;;;"693204925619294211";https://twitter.com/ratchet3yo/status/693204925619294211
luke_lewiiss;2016-01-29 16:51;0;1;"Well that was a PR disaster by fine bros #ReactWorld";;;#ReactWorld;"693204786011901952";https://twitter.com/luke_lewiiss/status/693204786011901952
imcdawg;2016-01-29 16:39;1;0;"Fine Bros filed to trademark the word REACT. Fucking ridiculous. #ReactWorld pic.twitter.com/yO7uDmLgjh";;;#ReactWorld;"693201861453545472";https://twitter.com/imcdawg/status/693201861453545472
Madi_Squad;2016-01-29 16:39;0;0;"Reacting to React World by the Fine Bros. very interesting, you should watch this! http:// youtu.be/YN-vhZoO7wM";;;;"693201769610895360";https://twitter.com/Madi_Squad/status/693201769610895360
iGotTheBeat13;2016-01-29 16:32;0;0;"Me ha gustado un vdeo de @YouTube de @boogie2988 ( http:// youtu.be/YN-vhZoO7wM?a - Reacting to React World by the Fine Bros).";;@YouTube @boogie2988;;"693200090773753856";https://twitter.com/iGotTheBeat13/status/693200090773753856
instagamrr;2016-01-29 16:31;0;17;"My thoughts on #ReactWorld by @TheFineBros - Sorry guys, I think you missed the mark http:// youtu.be/h3_fRUHOAfE?a";;@TheFineBros;#ReactWorld;"693199710333636609";https://twitter.com/instagamrr/status/693199710333636609
ItsGnome;2016-01-29 16:24;1;0;"Opinion On React World by the Fine Bros http:// youtu.be/adJjrGnC9O0?a";;;;"693197947438305280";https://twitter.com/ItsGnome/status/693197947438305280
instagamrr;2016-01-29 16:14;1;11;"This is happening in 15 mins, brace yourselves #ReactWorld pic.twitter.com/D1xcqGkkIc";;;#ReactWorld;"693195524946681856";https://twitter.com/instagamrr/status/693195524946681856
TIM_7375;2016-01-29 16:13;0;2;"La naissance d'un nouveau modle (effrayant) de vidos labellises sur youtube? Piti non #finebrothers #ReactWorld http:// variety.com/2016/digital/n ews/fine-bros-react-world-youtube-1201688987/ ";;;#finebrothers #ReactWorld;"693195215088263168";https://twitter.com/TIM_7375/status/693195215088263168
JasonWQ;2016-01-29 17:42;0;0;"61,000+ dislikes on #FineBros #ReactWorld video says it all. I'm probably going to get sued for this tweet.";;;#FineBros #ReactWorld;"693217645554827264";https://twitter.com/JasonWQ/status/693217645554827264
TeslaCrypt;2016-01-29 17:21;0;0;"Horse reacting to React World by the Fine Bros. via /r/videos http:// ift.tt/1Qy15Zn";;;;"693212307783041025";https://twitter.com/TeslaCrypt/status/693212307783041025
Abedsbrother;2016-01-29 17:08;0;0;"@boogie2988 I had a good reaction to this video...
Reacting to React World by the Fine Bros https:// youtu.be/YN-vhZoO7wM via @YouTube";;@boogie2988 @YouTube;;"693209032698499072";https://twitter.com/Abedsbrother/status/693209032698499072
instagamrr;2016-01-29 17:04;0;1;"I liked a @YouTube video from @akasan http:// youtu.be/DoBUTP8snbs?a REACTWORLD - REACTION!";;@YouTube @akasan;;"693208205896368128";https://twitter.com/instagamrr/status/693208205896368128
akasan;2016-01-29 17:01;0;2;"I liked a @YouTube video from @instagamrr http:// youtu.be/h3_fRUHOAfE?a Reacting to React World by The Fine Bros | REACT AROUND THE WORLD";;@YouTube @instagamrr;;"693207407317618690";https://twitter.com/akasan/status/693207407317618690
Doobybrain;2016-01-29 16:52;0;0;"Fine Bros. anger their fan base with stupid special announcement about React World http://www. doobybrain.com/blog/2016/1/29 /fine-bros-anger-their-fan-base-with-stupid-special-announcement-about-react-world ";Manhattan, NY;;;"693205203672285185";https://twitter.com/Doobybrain/status/693205203672285185
ratchet3yo;2016-01-29 16:51;0;0;"Here's another interesting thing about the FBE's react world initiative. Their Partnership program is really something to be skeptical on";;;;"693204925619294211";https://twitter.com/ratchet3yo/status/693204925619294211
luke_lewiiss;2016-01-29 16:51;0;1;"Well that was a PR disaster by fine bros #ReactWorld";;;#ReactWorld;"693204786011901952";https://twitter.com/luke_lewiiss/status/693204786011901952
imcdawg;2016-01-29 16:39;1;0;"Fine Bros filed to trademark the word REACT. Fucking ridiculous. #ReactWorld pic.twitter.com/yO7uDmLgjh";;;#ReactWorld;"693201861453545472";https://twitter.com/imcdawg/status/693201861453545472
Madi_Squad;2016-01-29 16:39;0;0;"Reacting to React World by the Fine Bros. very interesting, you should watch this! http:// youtu.be/YN-vhZoO7wM";;;;"693201769610895360";https://twitter.com/Madi_Squad/status/693201769610895360
iGotTheBeat13;2016-01-29 16:32;0;0;"Me ha gustado un vdeo de @YouTube de @boogie2988 ( http:// youtu.be/YN-vhZoO7wM?a - Reacting to React World by the Fine Bros).";;@YouTube @boogie2988;;"693200090773753856";https://twitter.com/iGotTheBeat13/status/693200090773753856
instagamrr;2016-01-29 16:31;0;17;"My thoughts on #ReactWorld by @TheFineBros - Sorry guys, I think you missed the mark http:// youtu.be/h3_fRUHOAfE?a";;@TheFineBros;#ReactWorld;"693199710333636609";https://twitter.com/instagamrr/status/693199710333636609
ItsGnome;2016-01-29 16:24;1;0;"Opinion On React World by the Fine Bros http:// youtu.be/adJjrGnC9O0?a";;;;"693197947438305280";https://twitter.com/ItsGnome/status/693197947438305280
instagamrr;2016-01-29 16:14;1;11;"This is happening in 15 mins, brace yourselves #ReactWorld pic.twitter.com/D1xcqGkkIc";;;#ReactWorld;"693195524946681856";https://twitter.com/instagamrr/status/693195524946681856
TIM_7375;2016-01-29 16:13;0;2;"La naissance d'un nouveau modle (effrayant) de vidos labellises sur youtube? Piti non #finebrothers #ReactWorld http:// variety.com/2016/digital/n ews/fine-bros-react-world-youtube-1201688987/ ";;;#finebrothers #ReactWorld;"693195215088263168";https://twitter.com/TIM_7375/status/693195215088263168
JasonWQ;2016-01-29 17:42;0;0;"61,000+ dislikes on #FineBros #ReactWorld video says it all. I'm probably going to get sued for this tweet.";;;#FineBros #ReactWorld;"693217645554827264";https://twitter.com/JasonWQ/status/693217645554827264
TeslaCrypt;2016-01-29 17:21;0;0;"Horse reacting to React World by the Fine Bros. via /r/videos http:// ift.tt/1Qy15Zn";;;;"693212307783041025";https://twitter.com/TeslaCrypt/status/693212307783041025
Abedsbrother;2016-01-29 17:08;0;0;"@boogie2988 I had a good reaction to this video...
Reacting to React World by the Fine Bros https:// youtu.be/YN-vhZoO7wM via @YouTube";;@boogie2988 @YouTube;;"693209032698499072";https://twitter.com/Abedsbrother/status/693209032698499072
instagamrr;2016-01-29 17:04;0;1;"I liked a @YouTube video from @akasan http:// youtu.be/DoBUTP8snbs?a REACTWORLD - REACTION!";;@YouTube @akasan;;"693208205896368128";https://twitter.com/instagamrr/status/693208205896368128
akasan;2016-01-29 17:01;0;2;"I liked a @YouTube video from @instagamrr http:// youtu.be/h3_fRUHOAfE?a Reacting to React World by The Fine Bros | REACT AROUND THE WORLD";;@YouTube @instagamrr;;"693207407317618690";https://twitter.com/akasan/status/693207407317618690
Doobybrain;2016-01-29 16:52;0;0;"Fine Bros. anger their fan base with stupid special announcement about React World http://www. doobybrain.com/blog/2016/1/29 /fine-bros-anger-their-fan-base-with-stupid-special-announcement-about-react-world ";Manhattan, NY;;;"693205203672285185";https://twitter.com/Doobybrain/status/693205203672285185
ratchet3yo;2016-01-29 16:51;0;0;"Here's another interesting thing about the FBE's react world initiative. Their Partnership program is really something to be skeptical on";;;;"693204925619294211";https://twitter.com/ratchet3yo/status/693204925619294211
luke_lewiiss;2016-01-29 16:51;0;1;"Well that was a PR disaster by fine bros #ReactWorld";;;#ReactWorld;"693204786011901952";https://twitter.com/luke_lewiiss/status/693204786011901952
imcdawg;2016-01-29 16:39;1;0;"Fine Bros filed to trademark the word REACT. Fucking ridiculous. #ReactWorld pic.twitter.com/yO7uDmLgjh";;;#ReactWorld;"693201861453545472";https://twitter.com/imcdawg/status/693201861453545472
Madi_Squad;2016-01-29 16:39;0;0;"Reacting to React World by the Fine Bros. very interesting, you should watch this! http:// youtu.be/YN-vhZoO7wM";;;;"693201769610895360";https://twitter.com/Madi_Squad/status/693201769610895360
iGotTheBeat13;2016-01-29 16:32;0;0;"Me ha gustado un vdeo de @YouTube de @boogie2988 ( http:// youtu.be/YN-vhZoO7wM?a - Reacting to React World by the Fine Bros).";;@YouTube @boogie2988;;"693200090773753856";https://twitter.com/iGotTheBeat13/status/693200090773753856
instagamrr;2016-01-29 16:31;0;17;"My thoughts on #ReactWorld by @TheFineBros - Sorry guys, I think you missed the mark http:// youtu.be/h3_fRUHOAfE?a";;@TheFineBros;#ReactWorld;"693199710333636609";https://twitter.com/instagamrr/status/693199710333636609
ItsGnome;2016-01-29 16:24;1;0;"Opinion On React World by the Fine Bros http:// youtu.be/adJjrGnC9O0?a";;;;"693197947438305280";https://twitter.com/ItsGnome/status/693197947438305280
instagamrr;2016-01-29 16:14;1;11;"This is happening in 15 mins, brace yourselves #ReactWorld pic.twitter.com/D1xcqGkkIc";;;#ReactWorld;"693195524946681856";https://twitter.com/instagamrr/status/693195524946681856
TIM_7375;2016-01-29 16:13;0;2;"La naissance d'un nouveau modle (effrayant) de vidos labellises sur youtube? Piti non #finebrothers #ReactWorld http:// variety.com/2016/digital/n ews/fine-bros-react-world-youtube-1201688987/ ";;;#finebrothers #ReactWorld;"693195215088263168";https://twitter.com/TIM_7375/status/693195215088263168
JasonWQ;2016-01-29 17:42;0;0;"61,000+ dislikes on #FineBros #ReactWorld video says it all. I'm probably going to get sued for this tweet.";;;#FineBros #ReactWorld;"693217645554827264";https://twitter.com/JasonWQ/status/693217645554827264
TeslaCrypt;2016-01-29 17:21;0;0;"Horse reacting to React World by the Fine Bros. via /r/videos http:// ift.tt/1Qy15Zn";;;;"693212307783041025";https://twitter.com/TeslaCrypt/status/693212307783041025
Abedsbrother;2016-01-29 17:08;0;0;"@boogie2988 I had a good reaction to this video...
Reacting to React World by the Fine Bros https:// youtu.be/YN-vhZoO7wM via @YouTube";;@boogie2988 @YouTube;;"693209032698499072";https://twitter.com/Abedsbrother/status/693209032698499072
instagamrr;2016-01-29 17:04;0;1;"I liked a @YouTube video from @akasan http:// youtu.be/DoBUTP8snbs?a REACTWORLD - REACTION!";;@YouTube @akasan;;"693208205896368128";https://twitter.com/instagamrr/status/693208205896368128
akasan;2016-01-29 17:01;0;2;"I liked a @YouTube video from @instagamrr http:// youtu.be/h3_fRUHOAfE?a Reacting to React World by The Fine Bros | REACT AROUND THE WORLD";;@YouTube @instagamrr;;"693207407317618690";https://twitter.com/akasan/status/693207407317618690
Doobybrain;2016-01-29 16:52;0;0;"Fine Bros. anger their fan base with stupid special announcement about React World http://www. doobybrain.com/blog/2016/1/29 /fine-bros-anger-their-fan-base-with-stupid-special-announcement-about-react-world ";Manhattan, NY;;;"693205203672285185";https://twitter.com/Doobybrain/status/693205203672285185
ratchet3yo;2016-01-29 16:51;0;0;"Here's another interesting thing about the FBE's react world initiative. Their Partnership program is really something to be skeptical on";;;;"693204925619294211";https://twitter.com/ratchet3yo/status/693204925619294211
luke_lewiiss;2016-01-29 16:51;0;1;"Well that was a PR disaster by fine bros #ReactWorld";;;#ReactWorld;"693204786011901952";https://twitter.com/luke_lewiiss/status/693204786011901952
imcdawg;2016-01-29 16:39;1;0;"Fine Bros filed to trademark the word REACT. Fucking ridiculous. #ReactWorld pic.twitter.com/yO7uDmLgjh";;;#ReactWorld;"693201861453545472";https://twitter.com/imcdawg/status/693201861453545472
Madi_Squad;2016-01-29 16:39;0;0;"Reacting to React World by the Fine Bros. very interesting, you should watch this! http:// youtu.be/YN-vhZoO7wM";;;;"693201769610895360";https://twitter.com/Madi_Squad/status/693201769610895360
iGotTheBeat13;2016-01-29 16:32;0;0;"Me ha gustado un vdeo de @YouTube de @boogie2988 ( http:// youtu.be/YN-vhZoO7wM?a - Reacting to React World by the Fine Bros).";;@YouTube @boogie2988;;"693200090773753856";https://twitter.com/iGotTheBeat13/status/693200090773753856
instagamrr;2016-01-29 16:31;0;17;"My thoughts on #ReactWorld by @TheFineBros - Sorry guys, I think you missed the mark http:// youtu.be/h3_fRUHOAfE?a";;@TheFineBros;#ReactWorld;"693199710333636609";https://twitter.com/instagamrr/status/693199710333636609
ItsGnome;2016-01-29 16:24;1;0;"Opinion On React World by the Fine Bros http:// youtu.be/adJjrGnC9O0?a";;;;"693197947438305280";https://twitter.com/ItsGnome/status/693197947438305280
instagamrr;2016-01-29 16:14;1;11;"This is happening in 15 mins, brace yourselves #ReactWorld pic.twitter.com/D1xcqGkkIc";;;#ReactWorld;"693195524946681856";https://twitter.com/instagamrr/status/693195524946681856
TIM_7375;2016-01-29 16:13;0;2;"La naissance d'un nouveau modle (effrayant) de vidos labellises sur youtube? Piti non #finebrothers #ReactWorld http:// variety.com/2016/digital/n ews/fine-bros-react-world-youtube-1201688987/ ";;;#finebrothers #ReactWorld;"693195215088263168";https://twitter.com/TIM_7375/status/693195215088263168
JasonWQ;2016-01-29 17:42;0;0;"61,000+ dislikes on #FineBros #ReactWorld video says it all. I'm probably going to get sued for this tweet.";;;#FineBros #ReactWorld;"693217645554827264";https://twitter.com/JasonWQ/status/693217645554827264
TeslaCrypt;2016-01-29 17:21;0;0;"Horse reacting to React World by the Fine Bros. via /r/videos http:// ift.tt/1Qy15Zn";;;;"693212307783041025";https://twitter.com/TeslaCrypt/status/693212307783041025
Abedsbrother;2016-01-29 17:08;0;0;"@boogie2988 I had a good reaction to this video...
Reacting to React World by the Fine Bros https:// youtu.be/YN-vhZoO7wM via @YouTube";;@boogie2988 @YouTube;;"693209032698499072";https://twitter.com/Abedsbrother/status/693209032698499072
instagamrr;2016-01-29 17:04;0;1;"I liked a @YouTube video from @akasan http:// youtu.be/DoBUTP8snbs?a REACTWORLD - REACTION!";;@YouTube @akasan;;"693208205896368128";https://twitter.com/instagamrr/status/693208205896368128
akasan;2016-01-29 17:01;0;2;"I liked a @YouTube video from @instagamrr http:// youtu.be/h3_fRUHOAfE?a Reacting to React World by The Fine Bros | REACT AROUND THE WORLD";;@YouTube @instagamrr;;"693207407317618690";https://twitter.com/akasan/status/693207407317618690
Doobybrain;2016-01-29 16:52;0;0;"Fine Bros. anger their fan base with stupid special announcement about React World http://www. doobybrain.com/blog/2016/1/29 /fine-bros-anger-their-fan-base-with-stupid-special-announcement-about-react-world ";Manhattan, NY;;;"693205203672285185";https://twitter.com/Doobybrain/status/693205203672285185
ratchet3yo;2016-01-29 16:51;0;0;"Here's another interesting thing about the FBE's react world initiative. Their Partnership program is really something to be skeptical on";;;;"693204925619294211";https://twitter.com/ratchet3yo/status/693204925619294211
luke_lewiiss;2016-01-29 16:51;0;1;"Well that was a PR disaster by fine bros #ReactWorld";;;#ReactWorld;"693204786011901952";https://twitter.com/luke_lewiiss/status/693204786011901952
imcdawg;2016-01-29 16:39;1;0;"Fine Bros filed to trademark the word REACT. Fucking ridiculous. #ReactWorld pic.twitter.com/yO7uDmLgjh";;;#ReactWorld;"693201861453545472";https://twitter.com/imcdawg/status/693201861453545472
Madi_Squad;2016-01-29 16:39;0;0;"Reacting to React World by the Fine Bros. very interesting, you should watch this! http:// youtu.be/YN-vhZoO7wM";;;;"693201769610895360";https://twitter.com/Madi_Squad/status/693201769610895360
iGotTheBeat13;2016-01-29 16:32;0;0;"Me ha gustado un vdeo de @YouTube de @boogie2988 ( http:// youtu.be/YN-vhZoO7wM?a - Reacting to React World by the Fine Bros).";;@YouTube @boogie2988;;"693200090773753856";https://twitter.com/iGotTheBeat13/status/693200090773753856
instagamrr;2016-01-29 16:31;0;17;"My thoughts on #ReactWorld by @TheFineBros - Sorry guys, I think you missed the mark http:// youtu.be/h3_fRUHOAfE?a";;@TheFineBros;#ReactWorld;"693199710333636609";https://twitter.com/instagamrr/status/693199710333636609
ItsGnome;2016-01-29 16:24;1;0;"Opinion On React World by the Fine Bros http:// youtu.be/adJjrGnC9O0?a";;;;"693197947438305280";https://twitter.com/ItsGnome/status/693197947438305280
instagamrr;2016-01-29 16:14;1;11;"This is happening in 15 mins, brace yourselves #ReactWorld pic.twitter.com/D1xcqGkkIc";;;#ReactWorld;"693195524946681856";https://twitter.com/instagamrr/status/693195524946681856
TIM_7375;2016-01-29 16:13;0;2;"La naissance d'un nouveau modle (effrayant) de vidos labellises sur youtube? Piti non #finebrothers #ReactWorld http:// variety.com/2016/digital/n ews/fine-bros-react-world-youtube-1201688987/ ";;;#finebrothers #ReactWorld;"693195215088263168";https://twitter.com/TIM_7375/status/693195215088263168
JasonWQ;2016-01-29 17:42;0;0;"61,000+ dislikes on #FineBros #ReactWorld video says it all. I'm probably going to get sued for this tweet.";;;#FineBros #ReactWorld;"693217645554827264";https://twitter.com/JasonWQ/status/693217645554827264
TeslaCrypt;2016-01-29 17:21;0;0;"Horse reacting to React World by the Fine Bros. via /r/videos http:// ift.tt/1Qy15Zn";;;;"693212307783041025";https://twitter.com/TeslaCrypt/status/693212307783041025
Abedsbrother;2016-01-29 17:08;0;0;"@boogie2988 I had a good reaction to this video...
Reacting to React World by the Fine Bros https:// youtu.be/YN-vhZoO7wM via @YouTube";;@boogie2988 @YouTube;;"693209032698499072";https://twitter.com/Abedsbrother/status/693209032698499072
instagamrr;2016-01-29 17:04;0;1;"I liked a @YouTube video from @akasan http:// youtu.be/DoBUTP8snbs?a REACTWORLD - REACTION!";;@YouTube @akasan;;"693208205896368128";https://twitter.com/instagamrr/status/693208205896368128
akasan;2016-01-29 17:01;0;2;"I liked a @YouTube video from @instagamrr http:// youtu.be/h3_fRUHOAfE?a Reacting to React World by The Fine Bros | REACT AROUND THE WORLD";;@YouTube @instagamrr;;"693207407317618690";https://twitter.com/akasan/status/693207407317618690
Doobybrain;2016-01-29 16:52;0;0;"Fine Bros. anger their fan base with stupid special announcement about React World http://www. doobybrain.com/blog/2016/1/29 /fine-bros-anger-their-fan-base-with-stupid-special-announcement-about-react-world ";Manhattan, NY;;;"693205203672285185";https://twitter.com/Doobybrain/status/693205203672285185
ratchet3yo;2016-01-29 16:51;0;0;"Here's another interesting thing about the FBE's react world initiative. Their Partnership program is really something to be skeptical on";;;;"693204925619294211";https://twitter.com/ratchet3yo/status/693204925619294211
luke_lewiiss;2016-01-29 16:51;0;1;"Well that was a PR disaster by fine bros #ReactWorld";;;#ReactWorld;"693204786011901952";https://twitter.com/luke_lewiiss/status/693204786011901952
imcdawg;2016-01-29 16:39;1;0;"Fine Bros filed to trademark the word REACT. Fucking ridiculous. #ReactWorld pic.twitter.com/yO7uDmLgjh";;;#ReactWorld;"693201861453545472";https://twitter.com/imcdawg/status/693201861453545472
Madi_Squad;2016-01-29 16:39;0;0;"Reacting to React World by the Fine Bros. very interesting, you should watch this! http:// youtu.be/YN-vhZoO7wM";;;;"693201769610895360";https://twitter.com/Madi_Squad/status/693201769610895360
iGotTheBeat13;2016-01-29 16:32;0;0;"Me ha gustado un vdeo de @YouTube de @boogie2988 ( http:// youtu.be/YN-vhZoO7wM?a - Reacting to React World by the Fine Bros).";;@YouTube @boogie2988;;"693200090773753856";https://twitter.com/iGotTheBeat13/status/693200090773753856
instagamrr;2016-01-29 16:31;0;17;"My thoughts on #ReactWorld by @TheFineBros - Sorry guys, I think you missed the mark http:// youtu.be/h3_fRUHOAfE?a";;@TheFineBros;#ReactWorld;"693199710333636609";https://twitter.com/instagamrr/status/693199710333636609
ItsGnome;2016-01-29 16:24;1;0;"Opinion On React World by the Fine Bros http:// youtu.be/adJjrGnC9O0?a";;;;"693197947438305280";https://twitter.com/ItsGnome/status/693197947438305280
instagamrr;2016-01-29 16:14;1;11;"This is happening in 15 mins, brace yourselves #ReactWorld pic.twitter.com/D1xcqGkkIc";;;#ReactWorld;"693195524946681856";https://twitter.com/instagamrr/status/693195524946681856
TIM_7375;2016-01-29 16:13;0;2;"La naissance d'un nouveau modle (effrayant) de vidos labellises sur youtube? Piti non #finebrothers #ReactWorld http:// variety.com/2016/digital/n ews/fine-bros-react-world-youtube-1201688987/ ";;;#finebrothers #ReactWorld;"693195215088263168";https://twitter.com/TIM_7375/status/693195215088263168
JasonWQ;2016-01-29 17:42;0;0;"61,000+ dislikes on #FineBros #ReactWorld video says it all. I'm probably going to get sued for this tweet.";;;#FineBros #ReactWorld;"693217645554827264";https://twitter.com/JasonWQ/status/693217645554827264
TeslaCrypt;2016-01-29 17:21;0;0;"Horse reacting to React World by the Fine Bros. via /r/videos http:// ift.tt/1Qy15Zn";;;;"693212307783041025";https://twitter.com/TeslaCrypt/status/693212307783041025
Abedsbrother;2016-01-29 17:08;0;0;"@boogie2988 I had a good reaction to this video...
Reacting to React World by the Fine Bros https:// youtu.be/YN-vhZoO7wM via @YouTube";;@boogie2988 @YouTube;;"693209032698499072";https://twitter.com/Abedsbrother/status/693209032698499072
instagamrr;2016-01-29 17:04;0;1;"I liked a @YouTube video from @akasan http:// youtu.be/DoBUTP8snbs?a REACTWORLD - REACTION!";;@YouTube @akasan;;"693208205896368128";https://twitter.com/instagamrr/status/693208205896368128
akasan;2016-01-29 17:01;0;2;"I liked a @YouTube video from @instagamrr http:// youtu.be/h3_fRUHOAfE?a Reacting to React World by The Fine Bros | REACT AROUND THE WORLD";;@YouTube @instagamrr;;"693207407317618690";https://twitter.com/akasan/status/693207407317618690
Doobybrain;2016-01-29 16:52;0;0;"Fine Bros. anger their fan base with stupid special announcement about React World http://www. doobybrain.com/blog/2016/1/29 /fine-bros-anger-their-fan-base-with-stupid-special-announcement-about-react-world ";Manhattan, NY;;;"693205203672285185";https://twitter.com/Doobybrain/status/693205203672285185
ratchet3yo;2016-01-29 16:51;0;0;"Here's another interesting thing about the FBE's react world initiative. Their Partnership program is really something to be skeptical on";;;;"693204925619294211";https://twitter.com/ratchet3yo/status/693204925619294211
luke_lewiiss;2016-01-29 16:51;0;1;"Well that was a PR disaster by fine bros #ReactWorld";;;#ReactWorld;"693204786011901952";https://twitter.com/luke_lewiiss/status/693204786011901952
imcdawg;2016-01-29 16:39;1;0;"Fine Bros filed to trademark the word REACT. Fucking ridiculous. #ReactWorld pic.twitter.com/yO7uDmLgjh";;;#ReactWorld;"693201861453545472";https://twitter.com/imcdawg/status/693201861453545472
Madi_Squad;2016-01-29 16:39;0;0;"Reacting to React World by the Fine Bros. very interesting, you should watch this! http:// youtu.be/YN-vhZoO7wM";;;;"693201769610895360";https://twitter.com/Madi_Squad/status/693201769610895360
iGotTheBeat13;2016-01-29 16:32;0;0;"Me ha gustado un vdeo de @YouTube de @boogie2988 ( http:// youtu.be/YN-vhZoO7wM?a - Reacting to React World by the Fine Bros).";;@YouTube @boogie2988;;"693200090773753856";https://twitter.com/iGotTheBeat13/status/693200090773753856
instagamrr;2016-01-29 16:31;0;17;"My thoughts on #ReactWorld by @TheFineBros - Sorry guys, I think you missed the mark http:// youtu.be/h3_fRUHOAfE?a";;@TheFineBros;#ReactWorld;"693199710333636609";https://twitter.com/instagamrr/status/693199710333636609
ItsGnome;2016-01-29 16:24;1;0;"Opinion On React World by the Fine Bros http:// youtu.be/adJjrGnC9O0?a";;;;"693197947438305280";https://twitter.com/ItsGnome/status/693197947438305280
instagamrr;2016-01-29 16:14;1;11;"This is happening in 15 mins, brace yourselves #ReactWorld pic.twitter.com/D1xcqGkkIc";;;#ReactWorld;"693195524946681856";https://twitter.com/instagamrr/status/693195524946681856
TIM_7375;2016-01-29 16:13;0;2;"La naissance d'un nouveau modle (effrayant) de vidos labellises sur youtube? Piti non #finebrothers #ReactWorld http:// variety.com/2016/digital/n ews/fine-bros-react-world-youtube-1201688987/ ";;;#finebrothers #ReactWorld;"693195215088263168";https://twitter.com/TIM_7375/status/693195215088263168
JasonWQ;2016-01-29 17:42;0;0;"61,000+ dislikes on #FineBros #ReactWorld video says it all. I'm probably going to get sued for this tweet.";;;#FineBros #ReactWorld;"693217645554827264";https://twitter.com/JasonWQ/status/693217645554827264
TeslaCrypt;2016-01-29 17:21;0;0;"Horse reacting to React World by the Fine Bros. via /r/videos http:// ift.tt/1Qy15Zn";;;;"693212307783041025";https://twitter.com/TeslaCrypt/status/693212307783041025
Abedsbrother;2016-01-29 17:08;0;0;"@boogie2988 I had a good reaction to this video...
Reacting to React World by the Fine Bros https:// youtu.be/YN-vhZoO7wM via @YouTube";;@boogie2988 @YouTube;;"693209032698499072";https://twitter.com/Abedsbrother/status/693209032698499072
instagamrr;2016-01-29 17:04;0;1;"I liked a @YouTube video from @akasan http:// youtu.be/DoBUTP8snbs?a REACTWORLD - REACTION!";;@YouTube @akasan;;"693208205896368128";https://twitter.com/instagamrr/status/693208205896368128
akasan;2016-01-29 17:01;0;2;"I liked a @YouTube video from @instagamrr http:// youtu.be/h3_fRUHOAfE?a Reacting to React World by The Fine Bros | REACT AROUND THE WORLD";;@YouTube @instagamrr;;"693207407317618690";https://twitter.com/akasan/status/693207407317618690
Doobybrain;2016-01-29 16:52;0;0;"Fine Bros. anger their fan base with stupid special announcement about React World http://www. doobybrain.com/blog/2016/1/29 /fine-bros-anger-their-fan-base-with-stupid-special-announcement-about-react-world ";Manhattan, NY;;;"693205203672285185";https://twitter.com/Doobybrain/status/693205203672285185
ratchet3yo;2016-01-29 16:51;0;0;"Here's another interesting thing about the FBE's react world initiative. Their Partnership program is really something to be skeptical on";;;;"693204925619294211";https://twitter.com/ratchet3yo/status/693204925619294211
luke_lewiiss;2016-01-29 16:51;0;1;"Well that was a PR disaster by fine bros #ReactWorld";;;#ReactWorld;"693204786011901952";https://twitter.com/luke_lewiiss/status/693204786011901952
imcdawg;2016-01-29 16:39;1;0;"Fine Bros filed to trademark the word REACT. Fucking ridiculous. #ReactWorld pic.twitter.com/yO7uDmLgjh";;;#ReactWorld;"693201861453545472";https://twitter.com/imcdawg/status/693201861453545472
Madi_Squad;2016-01-29 16:39;0;0;"Reacting to React World by the Fine Bros. very interesting, you should watch this! http:// youtu.be/YN-vhZoO7wM";;;;"693201769610895360";https://twitter.com/Madi_Squad/status/693201769610895360
iGotTheBeat13;2016-01-29 16:32;0;0;"Me ha gustado un vdeo de @YouTube de @boogie2988 ( http:// youtu.be/YN-vhZoO7wM?a - Reacting to React World by the Fine Bros).";;@YouTube @boogie2988;;"693200090773753856";https://twitter.com/iGotTheBeat13/status/693200090773753856
